"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
20,57.220458984375,57.220458984375
25.3792200633584,57.220458984375,57.220458984375
32.2052405512188,57.220458984375,57.220458984375
40.8671943571388,57.220458984375,57.220458984375
51.8588759480933,57.220458984375,57.220458984375
65.8068912462534,57.220458984375,57.220458984375
83.506378731208,76.2939453125,76.2939453125
105.966338125674,114.44091796875,114.44091796875
134.467150729987,133.514404296875,133.514404296875
170.633570483456,171.661376953125,171.661376953125
216.527346774811,209.808349609375,209.808349609375
274.764759176653,267.02880859375,267.02880859375
348.665764439998,343.32275390625,343.32275390625
442.44325821409,438.690185546875,438.690185546875
561.443240788235,553.131103515625,553.131103515625
712.449578052489,705.718994140625,705.718994140625
904.070731272049,896.453857421875,896.453857421875
1147.23050208974,1144.4091796875,1144.4091796875
1455.79076879663,1449.5849609375,1449.5849609375
1847.34171437477,1850.12817382813,1850.12817382813
2344.20459506696,2346.03857421875,2346.03857421875
2974.70421458702,2975.4638671875,2975.4638671875
3774.78364427019,3776.55004882812,3776.55004882812
4790.05323997497,4787.4453125,4787.4453125
6078.39076462639,6084.4423828125,6084.4423828125
7713.24084232694,7705.6884765625,7705.6884765625
9787.80183695499,9784.6982421875,9784.6982421875
12420.3388378312,2079.01000976562,12416.83984375
15760.9256313398,2250.67138671875,15754.69921875
20000,2193.45068359375,20008.087890625

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)","Ch-2 (deg)"
20,0,50.3473281860352
25.3792200633584,0,-177.745681762695
32.2052405512188,0,-177.410385131836
40.8671943571388,0,-176.894439697266
51.8588759480933,0,-176.184234619141
65.8068912462534,0,-175.267532348633
83.506378731208,0,-174.089248657227
105.966338125674,0,-172.59489440918
134.467150729987,0,-170.687530517578
170.633570483456,0,-168.254943847656
216.527346774811,0,-165.140228271484
274.764759176653,0,-161.223449707031
348.665764439998,0,-156.21272277832
442.44325821409,0,-149.872756958008
561.443240788235,0,-141.684112548828
712.449578052489,0,-130.958312988281
904.070731272049,0,-115.883651733398
1147.23050208974,0,-91.3619003295898
1455.79076879663,0,-48.4567565917969
1847.34171437477,0,-3.44898986816406
2344.20459506696,0,24.5093078613281
2974.70421458702,0,41.5451278686523
3774.78364427019,0,53.756404876709
4790.05323997497,0,62.6499366760254
6078.39076462639,0,63.07666015625
7713.24084232694,0,67.9357299804688
9787.80183695499,0,73.1011581420898
12420.3388378312,0,-84.4662322998047
15760.9256313398,0,-162.219360351562
20000,0,54.3874130249023

