f,ch1,ch2
20,0,50.3473281860352
25.3792200633584,0,-177.745681762695
32.2052405512188,0,-177.410385131836
40.8671943571388,0,-176.894439697266
51.8588759480933,0,-176.184234619141
65.8068912462534,0,-175.267532348633
83.506378731208,0,-174.089248657227
105.966338125674,0,-172.59489440918
134.467150729987,0,-170.687530517578
170.633570483456,0,-168.254943847656
216.527346774811,0,-165.140228271484
274.764759176653,0,-161.223449707031
348.665764439998,0,-156.21272277832
442.44325821409,0,-149.872756958008
561.443240788235,0,-141.684112548828
712.449578052489,0,-130.958312988281
904.070731272049,0,-115.883651733398
1147.23050208974,0,-91.3619003295898
1455.79076879663,0,-48.4567565917969
1847.34171437477,0,-3.44898986816406
2344.20459506696,0,24.5093078613281
2974.70421458702,0,41.5451278686523
3774.78364427019,0,53.756404876709
4790.05323997497,0,62.6499366760254
6078.39076462639,0,63.07666015625
7713.24084232694,0,67.9357299804688
9787.80183695499,0,73.1011581420898
12420.3388378312,0,-84.4662322998047
15760.9256313398,0,-162.219360351562
20000,0,54.3874130249023
